Order Code,Qty
9238689,30
2688498,12
9238379,48
2497715,12
2497714,12
2133992,12
9238603,24
2368169,60
1417667,6
2376932,6
2067775,6
1865556,36
2496792,12
2496930,18
2434643,12
2112849,12
1748728,12
2346896,12
2502402,12
2401856,5
2406965,6
2358234,6
2496834,30
2470344,12
2096227,10
2064363,6
1828860,12
2290329,24
2290328,24
2496882,12
2309108,6
1830748,12
1608592,12
2332509,24
2496825,12
2405785,6
2462637,12
9402047,48
2524984,12
2496800,12
1762621,12
2285871,12
1797012,12
2670808,6
2672775,12
1469746,6
2116067,24
2672771,12
1762616,12
2480594,12
2379805,24
2576286,6
